FID,x,y,lslpts
170,2631609.431090000085533,1209610.722589999902993,0
171,2629001.262180000077933,1210676.524160000029951,0
172,2628303.973939999938011,1211046.565350000048056,0
173,2632604.047790000215173,1209641.246190000092611,0
174,2633930.659659999888390,1207641.572069999994710,0
175,2630915.073650000151247,1209365.716109999921173,0
176,2632089.191490000113845,1210868.791449999902397,0
177,2633429.063480000011623,1208346.117929999949411,0
178,2630780.750159999821335,1210353.555480000097305,0
179,2633717.946980000007898,1208690.274479999905452,0
180,2629722.212079999968410,1211491.665479999966919,0
181,2633048.648529999889433,1208510.109140000073239,0
182,2634469.305819999892265,1207037.876789999892935,0
183,2631898.317819999996573,1210697.589170000050217,0
184,2631093.032879999838769,1210105.563249999890104,0
185,2629280.656080000102520,1211377.484129999997094,0
186,2632012.526020000223070,1210237.258189999964088,0
187,2633789.202560000121593,1209716.980819999938831,0
188,2632808.013350000139326,1206990.401920000091195,0
189,2631716.683550000190735,1211094.871409999905154,0
190,2633124.866080000065267,1210035.033079999964684,0
191,2633286.512660000007600,1208391.641109999967739,0
192,2631605.244849999900907,1210123.879220000002533,0
193,2631202.582589999772608,1208823.382699999958277,0
194,2632223.450050000101328,1208794.548299999907613,0
195,2631893.424240000080317,1209540.711270000087097,0
196,2633361.805819999892265,1209545.079919999931008,0
197,2634390.244859999977052,1206776.978020000038669,0
198,2629233.008460000157356,1210571.654899999964982,0
199,2633922.724810000043362,1208888.503890000050887,0
200,2632456.640399999916553,1209551.065149999922141,0
201,2629033.089499999769032,1210505.574890000047162,0
202,2632301.023419999983162,1210845.812960000010207,0
203,2632571.254790000151843,1208417.298829999985173,0
204,2632131.629910000134259,1208624.893660000059754,0
205,2634928.357880000025034,1206535.626930000027642,0
206,2632870.530549999792129,1209322.264410000061616,0
207,2633474.344490000046790,1210032.940799999982119,0
208,2633751.513160000089556,1209828.333189999917522,0
209,2631295.428359999787062,1210454.317370000062510,0
210,2632480.534399999771267,1208378.956070000072941,0
211,2634494.157560000196099,1207875.202929999912158,0
212,2632780.333370000123978,1210700.299780000001192,0
213,2631515.899269999936223,1209586.549289999995381,0
214,2632183.641600000206381,1210228.849099999992177,0
215,2633719.962770000100136,1209869.751350000035018,0
216,2629527.983680000063032,1210550.653249999973923,0
217,2631954.641770000103861,1210180.371349999913946,0
218,2630908.322420000098646,1209307.908180000027642,0
219,2631077.357580000068992,1209702.456040000077337,0
220,2631237.670990000013262,1209983.397919999901205,0
221,2629470.640130000188947,1210869.929699999978766,0
222,2633215.731430000159889,1207943.206789999967441,0
223,2631701.706300000194460,1208355.654450000030920,0
224,2629634.611479999963194,1210448.065769999986514,0
225,2629116.630810000002384,1211230.446860000025481,0
226,2632290.100089999847114,1209928.518799999961630,0
227,2628968.922129999846220,1210590.775200000032783,0
228,2633273.909279999788851,1206795.292750000022352,0
229,2633771.099859999958426,1208252.654180000070482,0
230,2630995.926239999942482,1210804.078320000087842,0
231,2632149.100829999893904,1209122.602249999996275,0
232,2634615.553210000041872,1206839.581019999925047,0
233,2629159.906899999827147,1210453.279379999963567,0
234,2628931.837079999968410,1211144.348890000022948,0
235,2628440.340780000202358,1211189.700669999932870,0
236,2634425.591349999886006,1207003.046050000004470,0
237,2632093.197819999884814,1209506.544870000099763,0
238,2631787.384190000128001,1209291.816060000099242,0
239,2631573.885379999876022,1210254.498039999976754,0
240,2632143.044249999802560,1209471.791070000035688,0
241,2634336.166920000221580,1207723.035600000061095,0
242,2629512.238979999907315,1210561.925770000088960,0
243,2632286.576630000025034,1210299.656639999942854,0
244,2632431.850089999847114,1210024.574490000028163,0
245,2632553.559049999807030,1210919.970660000108182,0
246,2632765.871520000044256,1209036.629459999967366,0
247,2632768.593419999815524,1210558.071830000029877,0
248,2631441.094190000090748,1210286.328690000111237,0
249,2632566.591399999801069,1208921.915819999994710,0
250,2631852.476710000075400,1210848.030000000027940,0
251,2631537.938709999900311,1211397.636660000076517,0
252,2634130.132759999949485,1207153.995959999971092,0
253,2633860.317629999946803,1208985.517049999907613,0
254,2634884.564950000029057,1207532.472730000037700,0
255,2629394.663420000113547,1210919.424769999925047,0
256,2631967.000849999953061,1208842.354689999949187,0
257,2631110.072540000081062,1210056.785690000047907,0
258,2633238.779010000173002,1209856.664610000094399,0
259,2628814.861349999904633,1210590.679179999977350,0
260,2628441.392849999945611,1210871.979229999938980,0
261,2633629.927879999857396,1206837.894890000112355,0
262,2631440.427469999995083,1209549.602290000068024,0
263,2630955.122580000199378,1208955.046659999992698,0
264,2634930.364990000147372,1207229.928770000115037,0
265,2634722.210289999842644,1207382.533409999916330,0
266,2633509.927000000141561,1206747.472599999979138,0
267,2629016.217530000023544,1210904.268020000075921,0
268,2632692.214269999880344,1207908.686979999998584,0
269,2633779.467800000216812,1209589.697960000019521,0
270,2631582.986039999872446,1211236.339410000015050,0
271,2632342.467350000049919,1209531.362590000033379,0
272,2629235.519340000115335,1210498.293619999894872,0
273,2630590.313260000199080,1210085.401880000019446,0
274,2632498.311389999929816,1209624.790169999934733,0
275,2630950.773409999907017,1209179.214129999978468,0
276,2634314.741409999784082,1207560.726179999997839,0
277,2631213.632249999791384,1210969.554659999907017,0
278,2628479.855870000086725,1211099.164809999987483,0
279,2633924.406820000149310,1207499.991069999989122,0
280,2634487.247890000231564,1207786.659470000071451,0
281,2633757.113160000182688,1207036.235110000008717,0
282,2632693.330409999936819,1207984.497200000099838,0
283,2635026.813970000017434,1207479.745379999978468,0
284,2632580.381630000192672,1210625.790030000032857,0
285,2631737.395769999828190,1208769.274399999994785,0
286,2633663.048529999796301,1210000.976969999959692,0
287,2633318.801779999863356,1207711.925950000062585,0
288,2630963.947139999829233,1210690.848169999895617,0
289,2632260.525109999813139,1208025.451369999907911,0
290,2633920.776229999959469,1207819.088729999959469,0
291,2628486.954559999983758,1211326.505529999965802,0
292,2631813.671109999995679,1210007.882509999908507,0
293,2630626.520700000226498,1210916.079810000024736,0
294,2630330.201619999948889,1210144.491350000025705,0
295,2634329.150349999777973,1206572.630050000036135,0
296,2632571.788129999767989,1207737.973990000085905,0
297,2628216.731960000004619,1211100.220260000089183,0
298,2633673.799629999790341,1208269.524680000031367,0
299,2634816.842180000152439,1206863.777380000101402,0
300,2634280.708709999918938,1207472.908389999996871,0
301,2634108.157430000137538,1207854.187639999901876,0
302,2634220.155730000231415,1207833.320619999896735,0
303,2631877.290860000066459,1210199.779289999976754,0
304,2631342.279610000085086,1209043.418490000069141,0
305,2632582.334040000103414,1209779.034930000081658,0
306,2632255.392239999957383,1209086.133290000027046,0
307,2628395.957750000059605,1210553.350749999983236,0
308,2633014.883619999978691,1210224.262799999909475,0
309,2633561.626790000125766,1206893.327589999884367,0
310,2631403.437630000058562,1208920.359129999997094,0
311,2629651.269979999866337,1211373.379909999901429,0
312,2630709.750669999979436,1209367.817950000055134,0
313,2634519.315090000163764,1206881.353649999946356,0
314,2628719.919170000124723,1210837.933419999899343,0
315,2631162.919300000183284,1209274.801939999917522,0
316,2631873.165829999838024,1210195.992249999893829,0
317,2634289.870089999865741,1207153.505580000113696,0
318,2634362.671750000212342,1207645.782769999932498,0
319,2628752.293289999943227,1211617.447119999909773,0
320,2630181.398539999965578,1211489.209670000011101,0
321,2630028.404010000173002,1211451.517290000105277,0
322,2630928.791619999799877,1209062.808220000006258,0
323,2633638.364300000015646,1208510.789929999969900,0
324,2634465.215319999959320,1208538.039940000046045,0
325,2631703.587299999780953,1210563.118909999961033,0
326,2630538.513859999831766,1210870.736400000052527,0
327,2633028.396410000044852,1207523.191409999970347,0
328,2631750.659810000099242,1208354.747449999907985,0
329,2632399.138400000054389,1209856.506079999962822,0
330,2632529.926690000109375,1208829.787440000101924,0
