FID,x,y,lslpts
126,2659607.354239999782294,1138491.175800000084564,1
127,2658084.347829999867827,1138496.923909999895841,1
128,2657633.188459999859333,1138497.696149999974295,1
129,2659600.672900000121444,1138502.500000000000000,1
130,2657527.916670000180602,1138510.765150000108406,1
131,2657716.158330000005662,1138512.500000000000000,1
132,2660301.879029999952763,1138519.056450000032783,1
133,2660282.250000000000000,1138517.250000000000000,1
134,2657688.941180000081658,1138523.235289999982342,1
135,2658091.676469999831170,1138528.250000000000000,1
136,2657951.334749999921769,1138532.260669999988750,1
137,2658046.043649999890476,1138532.813490000087768,1
138,2658041.029070000164211,1138537.494189999997616,1
139,2658100.971150000113994,1138539.490380000090227,1
140,2657856.067069999873638,1138540.530490000033751,1
141,2657752.190479999873787,1138539.547620000084862,1
142,2657875.125000000000000,1138540.812500000000000,1
143,2657865.000000000000000,1138545.250000000000000,1
144,2658174.029999999795109,1138545.290000000037253,1
145,2658003.707630000077188,1138549.487290000077337,1
146,2657887.750000000000000,1138546.500000000000000,1
147,2657827.806820000056177,1138554.090910000028089,1
148,2657854.934779999777675,1138554.271739999996498,1
149,2657735.750000000000000,1138556.000000000000000,1
150,2658020.250000000000000,1138557.250000000000000,1
151,2658026.827779999934137,1138557.716669999994338,1
152,2657740.000000000000000,1138560.500000000000000,1
153,2657674.977270000148565,1138562.681820000056177,1
154,2658102.916670000180602,1138561.869050000095740,1
155,2658078.685479999985546,1138560.791220000013709,1
156,2657958.434210000094026,1138565.592110000085086,1
157,2659641.250000000000000,1138565.750000000000000,1
158,2657739.107139999978244,1138565.882650000043213,1
159,2658033.702380000147969,1138564.664289999986067,1
160,2657757.250000000000000,1138569.000000000000000,1
161,2658066.833620000164956,1138567.831909999949858,1
162,2657760.600000000093132,1138575.725000000093132,1
163,2657967.173729999922216,1138572.796610000077635,1
164,2657756.322730000130832,1138576.340910000028089,1
165,2657985.319769999943674,1138575.813950000097975,1
166,2657740.735119999852031,1138575.619050000095740,1
167,2660236.375000000000000,1138579.250000000000000,1
168,2660233.625000000000000,1138581.000000000000000,1
169,2658031.757579999975860,1138587.166669999947771,1
170,2658380.522729999851435,1138592.295450000092387,1
171,2658419.830000000074506,1138593.889999999897555,1
172,2658048.394069999922067,1138592.042369999922812,1
173,2659484.730469999834895,1138594.666260000085458,1
174,2658365.041670000180602,1138595.333330000052229,1
175,2660329.101249999832362,1138598.288329999893904,1
176,2658286.718750000000000,1138600.117189999902621,1
177,2658063.875000000000000,1138599.000000000000000,1
178,2657969.570749999955297,1138609.561320000095293,1
179,2658081.523810000158846,1138613.333330000052229,1
180,2660215.035399999935180,1138608.583240000065416,1
181,2658414.076090000104159,1138615.010870000114664,1
182,2658175.524189999792725,1138615.427420000080019,1
183,2658403.880189999938011,1138604.761219999985769,1
184,2657078.266689999960363,1138619.677960000000894,1
185,2658329.921430000104010,1138619.642860000021756,1
186,2658172.049999999813735,1138622.216669999994338,1
187,2657443.836209999863058,1138623.474140000063926,1
188,2657873.126809999812394,1138621.590580000076443,1
189,2660232.500000000000000,1138622.500000000000000,1
190,2657935.705879999790341,1138623.279409999959171,1
191,2658016.250000000000000,1138624.750000000000000,1
192,2658268.118180000223219,1138623.281819999916479,1
193,2657985.799999999813735,1138625.583330000052229,1
194,2658035.155939999967813,1138624.636140000075102,1
195,2658165.562500000000000,1138626.437500000000000,1
196,2660225.310000000055879,1138626.830000000074506,1
197,2658219.597219999879599,1138628.083330000052229,1
198,2658318.982139999978244,1138629.392860000021756,1
199,2658041.474140000063926,1138630.612070000031963,1
200,2658148.500000000000000,1138629.684210000094026,1
201,2658115.638890000060201,1138630.601849999977276,1
